product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,sentiment_score_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank,label,unscaled_features,features,prediction
0394865707,The Berenstain Bears and Too Much TV,Books,55,96,133,36,0,4.454545454545454,1.7454545454545454,2.418181818181818,4.638888888888889,,10.963636363636363,4.145735930735931,4.581818181818182,0.7218045112781954,0.6545454545454545,0.0,0.4667466746674667,0.4667466746674667,"[4.454545454545454, 55.0, 2.418181818181818, 1.7454545454545454, 4.581818181818182]","[8.781161641839136, 0.2610860947548258, 0.5928253473586924, 0.5929699391918747, 1.2695521762207338]",0.484527104670269
B005CB6MPE,Bobby Fischer Against the World,Video_DVD,26,113,146,15,0,4.115384615384615,4.346153846153846,5.615384615384615,4.6,,18.076923076923077,3.953763971071664,5.8076923076923075,0.773972602739726,0.5769230769230769,0.0,0.720609936055091,0.720609936055091,"[4.115384615384615, 26.0, 5.615384615384615, 4.346153846153846, 5.8076923076923075]","[8.112580260945576, 0.1234225175204631, 1.3766302889792654, 1.4764856458643836, 1.6092232636619648]",0.41158482401134344
B007MCUAD6,Superman vs. The Elite,Video_DVD,54,128,514,33,0,4.166666666666667,2.3703703703703702,9.518518518518519,4.333333333333333,,14.055555555555555,3.0149549726011506,8.425925925925926,0.2490272373540856,0.6111111111111112,0.0,0.600660529829246,0.600660529829246,"[4.166666666666667, 54.0, 9.518518518518519, 2.3703703703703702, 8.425925925925926]","[8.213671603761098, 0.2563390748501926, 2.3334965984169083, 0.8052678186556324, 2.3346960030808246]",0.5431570857920807
B0064SVODY,All Things Fall Apart,Video_DVD,34,40,57,19,0,4.176470588235294,1.1764705882352942,1.6764705882352942,4.421052631578948,,9.382352941176471,3.801470588235294,5.882352941176471,0.7017543859649122,0.5588235294117647,0.0,0.17075398777317125,0.17075398777317125,"[4.176470588235294, 34.0, 1.6764705882352942, 1.1764705882352942, 5.882352941176471]","[8.232997889887596, 0.16139867675752867, 0.41099236266463973, 0.3996733658768764, 1.6299105903860962]",0.24052097356686097
B004H1HJ4S,Barbie: A Fairy Secret,Video_DVD,94,241,365,60,0,3.6808510638297873,2.5638297872340425,3.882978723404255,4.45,,8.97872340425532,2.9220572494195776,6.74468085106383,0.6602739726027397,0.6382978723404256,0.0,0.17075398777317125,0.17075398777317125,"[3.6808510638297873, 94.0, 3.882978723404255, 2.5638297872340425, 6.74468085106383]","[7.255992446556612, 0.44621987103552047, 0.9519251998260879, 0.8709903085093418, 1.8688485471469514]",0.3023299284714741
B00005MHOD,Masters of the Universe,Video_DVD,148,363,579,59,0,4.047297297297297,2.4527027027027026,3.9121621621621623,4.271186440677966,,14.04054054054054,3.3108925478466302,9.635135135135135,0.6269430051813472,0.39864864864864863,0.0,0.11088468835640503,0.11088468835640503,"[4.047297297297297, 148.0, 3.9121621621621623, 2.4527027027027026, 9.635135135135135]","[7.978361011869564, 0.7025589458857131, 0.9590796172849808, 0.8332379529818257, 2.6697494954148473]",0.45462611712099027
B000JLQPYU,Altered,Video_DVD,69,228,496,24,0,3.536231884057971,3.3043478260869565,7.188405797101449,3.8333333333333335,,16.391304347826086,2.394195896620872,1.8115942028985508,0.4596774193548387,0.34782608695652173,0.0,0.09394982784062961,0.09394982784062961,"[3.536231884057971, 69.0, 7.188405797101449, 3.3043478260869565, 1.8115942028985508]","[6.970907378496375, 0.32754437341969056, 1.7622616842045473, 1.1225608450280962, 0.501965218053689]",0.4263871267158938
B000A6T1ZY,Pumpkinhead II: Blood Wings,Video_DVD,44,51,103,17,0,3.477272727272727,1.1590909090909092,2.340909090909091,4.411764705882353,,7.181818181818182,2.416540404040404,2.1363636363636362,0.49514563106796117,0.38636363636363635,0.0,0.054809922001264846,0.054809922001264846,"[3.477272727272727, 44.0, 2.340909090909091, 1.1590909090909092, 2.1363636363636362]","[6.854682302047897, 0.20886887580386065, 0.573881680243847, 0.3937691002446044, 0.591953891690223]",0.20028571457953057
B003X3BY8I,Bill Burr: Let It Go,Video_DVD,101,117,250,85,0,4.821782178217822,1.1584158415841583,2.4752475247524752,4.858823529411764,,10.03960396039604,4.561499321648219,5.267326732673268,0.468,0.8415841584158416,0.0,0.9818002951303493,0.9818002951303493,"[4.821782178217822, 101.0, 2.4752475247524752, 1.1584158415841583, 5.267326732673268]","[9.505088485619773, 0.47944901036795284, 0.6068151958744897, 0.3935397647173797, 1.4594961761833518]",0.8209057365144331
B00005R249,Clockwise,Video_DVD,33,78,97,19,0,4.363636363636363,2.3636363636363638,2.9393939393939394,4.526315789473684,,14.121212121212121,4.088406038406038,6.121212121212121,0.8041237113402062,0.5757575757575758,0.0,0.47445717096479517,0.47445717096479517,"[4.363636363636363, 33.0, 2.9393939393939394, 2.3636363636363638, 6.121212121212121]","[8.60195426139344, 0.15665165685289548, 0.7206022392705911, 0.8029801259889972, 1.6960948386017738]",0.46714160838779556
B000VWYJ6S,Vitus,Video_DVD,78,159,313,60,0,4.833333333333333,2.0384615384615383,4.012820512820513,4.85,,14.423076923076923,4.541011158346925,9.333333333333334,0.5079872204472844,0.7692307692307693,0.0,0.8266460543883072,0.8266460543883072,"[4.833333333333333, 78.0, 4.012820512820513, 2.0384615384615383, 9.333333333333334]","[9.527859060362873, 0.3702675525613893, 0.9837563480605254, 0.6925109666443569, 2.5861248034126056]",0.8164204654419434
B00003CY5B,Final Fantasy: The Spirits Within,Video_DVD,215,394,860,0,0,3.986046511627907,1.8325581395348838,4.0,,,11.525581395348837,3.00161998577806,8.013953488372094,0.45813953488372094,0.0,0.0,0.31761647108425267,0.31761647108425267,"[3.986046511627907, 215.0, 4.0, 1.8325581395348838, 8.013953488372094]","[7.857618490518989, 1.0206092794961372, 0.9806133565331755, 0.6225609778240274, 2.220544702465076]",0.4478330855246995
B00004VVO5,The Color of Paradise,Video_DVD,83,475,620,28,0,4.795180722891566,5.72289156626506,7.469879518072289,4.857142857142857,,32.903614457831324,4.365741408341826,5.506024096385542,0.7661290322580645,0.3373493975903614,0.0,0.7941817159721735,0.7941817159721735,"[4.795180722891566, 83.0, 7.469879518072289, 5.72289156626506, 5.506024096385542]","[9.452649537244097, 0.3940026520845553, 1.8312659067788215, 1.9441942346119137, 1.525635587555371]",0.7821480716924293
B0006N2DSI,The Yes Men,Video_DVD,39,211,429,11,0,3.6923076923076925,5.410256410256411,11.0,4.181818181818182,,22.564102564102566,2.4245886389083475,8.384615384615385,0.49184149184149184,0.28205128205128205,0.0,0.7578525753636427,0.7578525753636427,"[3.6923076923076925, 39.0, 11.0, 5.410256410256411, 8.384615384615385]","[7.278576682717527, 0.18513377628069466, 2.6966867304662325, 1.8379850812825071, 2.323249479988797]",0.5123806590723121
B000BKLB52,The Exterminator,Video_DVD,21,45,63,15,0,3.238095238095238,2.142857142857143,3.0,3.2666666666666666,,9.285714285714286,2.7826617826617825,3.7142857142857144,0.7142857142857143,0.7142857142857143,0.0,0.3942800927552526,0.3942800927552526,"[3.238095238095238, 21.0, 3.0, 2.142857142857143, 3.7142857142857144]","[6.383196217780053, 0.09968741799729712, 0.7354600173998816, 0.7279764878471676, 1.029172115643792]",0.188307864933056
B0007NMHOC,Bad Boy Bubby,Video_DVD,30,83,146,16,0,4.6,2.7666666666666666,4.866666666666666,4.75,,16.633333333333333,2.914650751547303,2.1333333333333333,0.5684931506849316,0.5333333333333333,0.0,0.7941817159721735,0.7941817159721735,"[4.6, 30.0, 4.866666666666666, 2.7666666666666666, 2.1333333333333333]","[9.067893450552251, 0.1424105971389959, 1.19307958378203, 0.9398985320871209, 0.5911142407800242]",0.828222773993863
B00007G1WH,Becket,Video_DVD,184,248,424,118,0,4.766304347826087,1.3478260869565217,2.3043478260869565,4.8474576271186445,,11.0,3.7885000662317596,8.86413043478261,0.5849056603773585,0.6413043478260869,0.0,0.8266460543883072,0.8266460543883072,"[4.766304347826087, 184.0, 2.3043478260869565, 1.3478260869565217, 8.86413043478261]","[9.395726082389325, 0.8734516624525082, 0.5649185640897642, 0.4578866604719866, 2.4561158119367006]",0.846949307571552
B00FYV7WCY,Haunter,Video_DVD,30,27,61,16,0,4.133333333333334,0.9,2.033333333333333,4.1875,,8.2,2.980079365079365,3.0,0.4426229508196721,0.5333333333333333,0.0,0.31761647108425267,0.31761647108425267,"[4.133333333333334, 30.0, 2.033333333333333, 0.9, 3.0]","[8.14796223093101, 0.1424105971389959, 0.4984784562376975, 0.30575012489581044, 0.831254401096909]",0.25016685299129143
