product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,sentiment_score_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank,label,product_category_idx,product_category_vec,unscaled_features,features,prediction
0316787531,Our Band Could Be Your Life: Scenes from the American Indie Underground 1981-1991,Books,59,187,246,19,0,4.203389830508475,3.169491525423729,4.169491525423729,4.421052631578948,,15.847457627118644,3.721985989779034,7.220338983050848,0.7601626016260162,0.3220338983050847,0.0,0.7746774677467747,0.7746774677467747,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.203389830508475, 59.0, 4.169491525423729, 3.169491525423729, 7.220338983050848]","[0.0, 0.0, 8.334856637888523, 0.33572818742694244, 1.1639227982554292, 1.245166222955401, 2.1704734837242268]",0.34334529615522136
0790732211,Rosewood,Video_DVD,51,326,433,25,0,4.431372549019608,6.392156862745098,8.490196078431373,4.2,,35.627450980392155,3.987931256439216,0.803921568627451,0.7528868360277137,0.49019607843137253,0.0,0.6404328578455485,0.6404328578455485,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.431372549019608, 51.0, 8.490196078431373, 6.392156862745098, 0.803921568627451]","[2.289820132886848, 0.0, 8.786921126629155, 0.2902057213351536, 2.3700570482250476, 2.511222306000229, 0.24166323101946538]",0.8338671650202619
0810949792,Graffiti World: Street Art from Five Continents,Books,67,169,292,23,0,4.373134328358209,2.5223880597014925,4.358208955223881,4.913043478260869,,13.701492537313433,3.837615872398612,6.656716417910448,0.5787671232876712,0.34328358208955223,0.0,0.48144814481448145,0.48144814481448145,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.373134328358209, 67.0, 4.358208955223881, 2.5223880597014925, 6.656716417910448]","[0.0, 0.0, 8.6714411831475, 0.3812506535187312, 1.2166036869521013, 0.9909451998633814, 2.0010454505892827]",0.315923595104263
1416550216,Women Who Love Too Much: When You Keep Wishing and Hoping He'll Change,Books,178,236,324,150,0,4.668539325842697,1.3258426966292134,1.8202247191011236,4.7,,10.235955056179776,4.338954574973867,4.617977528089888,0.7283950617283951,0.8426966292134831,0.0,0.43384338433843384,0.43384338433843384,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.668539325842697, 178.0, 1.8202247191011236, 1.3258426966292134, 4.617977528089888]","[0.0, 0.0, 9.257196586150696, 1.012874870542301, 0.5081197636670043, 0.5208704707213544, 1.3881893629484827]",0.6845074032853449
156341029X,Stone Butch Blues,Books,50,267,339,7,0,4.76,5.34,6.78,4.714285714285714,,30.58,4.543558114035088,3.94,0.7876106194690266,0.14,0.0,0.8614861486148615,0.8614861486148615,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.76, 50.0, 6.78, 5.34, 3.94]","[0.0, 0.0, 9.438552976550856, 0.28451541307368, 1.89265202340706, 2.0978720331782283, 1.1843856010012528]",0.7955731298189065
6305245479,Leprechaun 2,Video_DVD,30,27,49,2,0,3.4,0.9,1.6333333333333333,4.0,,6.5,2.8007142857142853,6.133333333333334,0.5510204081632653,0.06666666666666667,0.0,0.07181505164781112,0.07181505164781112,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.4, 30.0, 1.6333333333333333, 0.9, 6.133333333333334]","[2.289820132886848, 0.0, 6.741823554679183, 0.17070924784420802, 0.45594861920819046, 0.3535739381761059, 1.8437136259241163]",0.18445396133889042
6305364443,The Jewel of the Nile,Video_DVD,22,70,142,10,0,3.8636363636363638,3.1818181818181817,6.454545454545454,4.2,,15.954545454545455,2.7052061973114605,5.590909090909091,0.49295774647887325,0.45454545454545453,0.0,0.35577260909282554,0.35577260909282554,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.8636363636363638, 22.0, 6.454545454545454, 3.1818181818181817, 5.590909090909091]","[2.289820132886848, 0.0, 7.661163130317253, 0.1251867817524192, 1.8018006658876542, 1.2500088723397682, 1.680657924817191]",0.4479520491557471
6305841861,Evil Dead II,Video_DVD,367,704,1811,72,0,4.523160762942779,1.9182561307901906,4.9346049046321525,4.569444444444445,,13.06267029972752,3.2491580708922494,0.1600547195622435,0.3887355052457206,0.19618528610354224,0.0,0.9094230904363713,0.9094230904363713,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.523160762942779, 367.0, 4.9346049046321525, 1.9182561307901906, 0.1600547195622435]","[2.289820132886848, 0.0, 8.968926992120085, 2.0883431319608112, 1.377505893431629, 0.7536059717710522, 0.048113326198430145]",0.9077317968348825
B00000FA91,Chaos Theory,Video_DVD,32,108,188,17,0,3.875,3.375,5.875,4.294117647058823,,15.625,3.264993418056031,7.09375,0.574468085106383,0.53125,0.0,0.43391188251001334,0.43391188251001334,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.875, 32.0, 5.875, 3.375, 7.09375]","[2.289820132886848, 0.0, 7.683695963053481, 0.1820898643671552, 1.640019268070277, 1.3259022681603971, 2.1324201413966084]",0.45050626880174177
B00003CX8U,All That Jazz,Video_DVD,254,740,2188,130,0,4.47244094488189,2.9133858267716537,8.614173228346457,4.492307692307692,,16.480314960629922,2.8712119258445825,5.811023622047244,0.3382084095063985,0.5118110236220472,0.0,0.857213126273628,0.857213126273628,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.47244094488189, 254.0, 8.614173228346457, 2.9133858267716537, 5.811023622047244]","[2.289820132886848, 0.0, 8.868355208563631, 1.4453382984142944, 2.4046655443375884, 1.1445525557756708, 1.7468255596525135]",0.8687415158018832
